"speechiness","track_name"
"0.0879","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix"
"0.0409","DJ Terdiam Sepi"
"0.214","DO A BITCH"
"0.0751","Do Dat (Tik Tok Resume)"
"0.0323","Do I Wanna Know?"
"0.0343","Do I Wanna Know?"
"0.0516","Do It"
"0.047","Do It Again"
"0.16","Do It For You"
"0.299","Do It On The Tip (feat. City Girls & Hot Girl Meg)"
"0.188","Do Me Right"
"0.107","Do or Die (feat. Liana Banks)"
"0.0566","Do Ya Like!"
"0.0389","Do You"
"0.0467","Do You Love Me"
"0.0644","Do You Remember"
"0.0454","do you wonder where my smile went?"
"0.0445","Doing It Wrong"
"0.438","Doja x Calabria - TikTok Mashup"
"0.0577","DOLLAZ ON MY HEAD (feat. Young Thug)"
"0.034","Domino"
"0.363","Don't (Screwed and Chopped)"
"0.343","Don't Be Suspicious"
"0.079","Don't Cha"
"0.0897","Don't Feel Like Dancing (feat. Cally Rhodes)"
"0.455","Don't Go"
"0.143","Don't Leave Me (Think About It Challenge)"
"0.189","Don't Leave Me Here"
"0.0751","Don't Look Down"
"0.0403","Don't Matter"
"0.0917","Don't Rush - Remix"
"0.257","Don't Rush (feat. DaBaby)"
